,Ink_ID,Solvent A,Solvent B,Pigment A,Pigment B,Resin A,Resin B,Additive,COMP_HDPE
0,1,0.12148021009448003,0.10305022830256079,0.08488292667016993,0.13820489365002517,0.18552399588302954,0.15659885185601014,0.21025889354372448,0.5302024780383784
1,2,0.231324332658369,0.20148304064597342,0.06009397932785737,0.11359463070680423,0.19597485261409517,0.15558474404131,0.04194442000559086,0.7187118193971085
2,3,0.1331775208638113,0.14087087298344075,0.16488215463449948,0.11715714517773346,0.13830216659507025,0.1468884092415664,0.1587217305038783,0.36431562291135783
3,4,0.20639277134437148,0.220207228487553,0.08603324453753877,0.1377922807417699,0.053058344077402494,0.08513892147060456,0.21137720934075982,0.34706579578314206
4,5,0.078522823414964,0.17674653749643252,0.13686992952886948,0.19722386796419564,0.07511595873449944,0.25640153690542744,0.07911934595561142,0.3597892893215058
5,6,0.045616942658429124,0.08972558812546058,0.2220682298132719,0.2306576303724661,0.0784213107583186,0.0520970800927714,0.2814132181792823,0.3033379710550089
6,7,0.02047489896456787,0.08754219801166159,0.15853659045600862,0.22288288596451178,0.12728148723056432,0.2005543146206748,0.18272762475201115,0.469548824522698
7,8,0.212079062585326,0.21083178488836662,0.19017384353364855,0.11529491692680818,0.10000838424770435,0.15376317255262362,0.017848835265522587,0.5642874055249236
8,9,0.18736379552886193,0.15450064466694835,0.020374223137240115,0.0962596538376317,0.21185737815295577,0.13426440259572822,0.19537990208063402,0.4332996505438735
9,10,0.26178449142546895,0.23753335265778566,0.18026199710598168,0.11582297080483249,0.020955561016773334,0.09003039393145644,0.09361123305770155,0.5630878614527969
10,11,0.01567585091161109,0.06151083798497631,0.02559799514642877,0.1825492362924384,0.02640454190128144,0.07621935935348118,0.6120421784097827,0.3159363669083287
11,12,0.24746162785638848,0.24882086618377786,0.01598526263334627,0.03894566437061863,0.09999158753159593,0.14013685564963474,0.20865813577463815,0.5898577940705382
12,13,0.14961905094970707,0.15563747807212125,0.1629185061738988,0.11980649655636669,0.12530469351495713,0.11076270359144122,0.17595107114150785,0.5114433247043882
13,14,0.11499765223812897,0.08690413465646016,0.07541187637265852,0.1217085918339774,0.10475983547645411,0.22441768565142378,0.27180022377089713,0.3772395037115149
14,15,0.05796839988216564,0.10806211661323444,0.16974332782643264,0.1810767639188361,0.2045208029836037,0.13358182903584795,0.14504675973987957,0.6404839257976237
15,16,0.06974017289008907,0.15436674304069772,0.15632046574339922,0.14460172219809758,0.09880051082793553,0.08965878842413684,0.286511596875644,0.3373128349147201
16,17,0.10481852226114052,0.09203668628994532,0.11966784698127252,0.17277344754005447,0.3052772541330139,0.15978702351439336,0.04563921928017994,0.7185381008593711
17,18,0.11128335347299842,0.11403102501351638,0.19082466881527546,0.14880951289607244,0.18994599143834237,0.1291228919385298,0.11598255642526509,0.5593643942563558
18,19,0.18433488505494156,0.24624130200388056,0.00931325322089501,0.01725599187140074,0.12686893068422592,0.1828715040321568,0.23311413313249937,0.5235882212516738
19,20,0.10612255001743923,0.0779967122304583,0.24188188765837954,0.25936851541107353,0.0838086588521498,0.19821808422491746,0.0326035916055822,0.7907887689723547
20,21,0.1431732450328393,0.1491800606411006,0.22543377433151685,0.16200718169613088,0.09624490606085663,0.12615278325993012,0.09780804897762577,0.41313733794283897
21,22,0.04933469089788882,0.06608324492104369,0.19811426863335102,0.1800910985334808,0.08506862847277685,0.11952746265381149,0.3017806058876474,0.32161649229789424
22,23,0.05976347563555413,0.09856502490709977,0.19164399096567797,0.17107437568036254,0.13754828519975362,0.166263127970567,0.17514171964098507,0.2841596927759524
23,24,0.12951666492457575,0.19364855750231383,0.018474266261760044,0.058096674687402816,0.2920313480050336,0.2731498739018671,0.03508261471704677,0.7082699338650928
24,25,0.13750532461052187,0.1816627705306346,0.12626639173124377,0.0825840763052364,0.20293760860545915,0.2416914374372094,0.02735239077969473,0.8029649718861207
25,26,0.20630496897363165,0.1817934112130613,0.06835645464419599,0.08031297199261449,0.21659806438986284,0.17761089718355805,0.06902323160307573,0.8316281358640345
26,27,0.05331945859419031,0.10638173210945275,0.19515320319395674,0.21797143960763007,0.10600994745645571,0.08757294657491668,0.23359127246339778,0.5691395787010062
27,28,0.15377254582482192,0.1834049674681076,0.29343921866019096,0.252823175937438,0.04674377432923285,0.031270321655753074,0.038545996124455494,0.5619798674397497
28,29,0.14915367221458858,0.12850978370867752,0.06458720439724291,0.10637630496654718,0.18579572398095004,0.18430194591284413,0.18127536481914958,0.45496821540925314
29,30,0.019937840777392017,0.12069473115886838,0.28079038012914803,0.27703163514816076,0.1547259295874311,0.10339631647385492,0.04342316672514503,0.27634773308328164
30,31,0.1885664828400095,0.13544240679655037,0.06148447106666629,0.061595523863790635,0.20834540552917583,0.15115955554672603,0.19340615435708128,0.8094901365049817
31,32,0.06638014386574242,0.11609932231816607,0.22006683171078492,0.19717824249277469,0.10535391366729034,0.15631477271966152,0.13860677322558002,0.5160701478820341
32,33,0.02693396842570327,0.047423642878277654,0.1920866557556747,0.23961967080327984,0.033632326568995986,0.13366171507323704,0.3266420204948314,0.23375494490849594
33,34,0.1801263721204588,0.13295460235717116,0.1845151884336663,0.11840653558407768,0.18842120659943057,0.1512147772398844,0.04436131766531107,0.777815198712897
34,35,0.2605536943614549,0.18861680389915556,0.16419715128539283,0.1285071746603727,0.04214740041976762,0.04350379731010805,0.17247397806374853,0.4775356753008826
35,36,0.19427572295606438,0.18619307375938454,0.08399409433136329,0.07695868849572182,0.23753937792426175,0.16439932828929832,0.05663971424390592,0.6860824887755369
36,37,0.08795365620426619,0.09100803322256354,0.032943820844413996,0.06966245358235686,0.28217812818355015,0.23019286430805405,0.20606104365479525,0.4423279798804294
37,38,0.027382685680055106,0.08012507609495306,0.04240252618145592,0.1353813050002843,0.22254941287572055,0.24722059747856776,0.24493839668896333,0.44909319813831894
38,39,0.22433406600539907,0.1634622060326223,0.07387287821149362,0.05317633717898665,0.2161997865774611,0.22738122387896437,0.041573502115072984,0.6221303767037751
39,40,0.12070608037290145,0.11043353507935988,0.06882433344245123,0.09819339292270166,0.15845604702832444,0.2057340468129966,0.23765256434126475,0.2609400062396292
40,41,0.029941585150633825,0.06066770869136219,0.20869519424580998,0.1428196749794911,0.2124944957046423,0.19975006389960764,0.1456312773284528,0.45770248071359015
41,42,0.15366840055989628,0.1811834881951014,0.17416443794554476,0.22499080135319346,0.08982185444812793,0.136724780351235,0.03944623714690107,0.6844770005550138
42,43,0.015203321350731932,0.052918903666559255,0.23139349874966014,0.15887289684006514,0.20676398788085457,0.14582919569779088,0.18901819581433815,0.4288099815554574
43,44,0.2596596210733603,0.2353793762121134,0.03277265275523441,0.06576346276499967,0.17686897200884763,0.18362169578752624,0.045934219397918294,0.760555955746721
44,45,0.06459938536821375,0.111569699662042,0.21471713220484176,0.2025097288661477,0.1026456986595238,0.12913013674652402,0.17482821849270702,0.3102850036143771
45,46,0.14885786601150583,0.1457128064489068,0.162404491500425,0.16076341398965946,0.09604917873328948,0.1157070486362518,0.17050519467996156,0.504946324664609
46,47,0.18088306509965227,0.16717341652716916,0.03926732686019116,0.1216826091681006,0.19166114904450793,0.23793968747978395,0.06139274582059507,0.47915672174594015
47,48,0.13760606317320268,0.09826112287073481,0.18728781070795317,0.1490477555346568,0.1492914692873945,0.14458500324237844,0.1339207751836796,0.6112563562166321
48,49,0.12211937294012931,0.14379008988593575,0.12141082540209892,0.10837256905164142,0.18999391803063462,0.13234938610452004,0.1819638385850401,0.5238433750604056
